id,鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局.房,建物現況格局.廳,建物現況格局.衛,建物現況格局.隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
587,587,中正區,房地(土地+建物)+車位,臺北市中正區羅斯福路三段151~180號,15.76,商,1050829,土地4建物1車位1,十七層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1050126,210.29,3,2,2,有,有,69990000,380928,坡道平面,34.43,3000000,
588,588,文山區,房地(土地+建物),臺北市文山區興隆路四段105巷1~30號,14.2,住,1060420,土地1建物1車位0,一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840821,67.45,2,1,1,有,有,7500000,111193,,0,0,
589,589,中正區,房地(土地+建物),臺北市中正區林森南路121~150號,3.62,商,1060416,土地2建物1車位0,四層,十二層,套房(1房1廳1衛),商業用,鋼筋混凝土造,891103,31.2,1,0,1,有,無,8800000,282051,,0,0,含增建或未登記建物。
590,590,文山區,房地(土地+建物)+車位,臺北市文山區萬盛街121~150號,30.9,住,1060411,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1010725,151.22,3,2,2,有,有,20450000,135233,升降機械,3.02,0,
591,591,文山區,房地(土地+建物),臺北市文山區興隆路一段251巷4弄1~30號,33.75,住,1060415,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,NA,93.61,3,2,1,有,無,12500000,133533,,0,0,含增建或未登記建物。
592,592,文山區,房地(土地+建物)+車位,臺北市文山區久康街24巷1~30號,19.71,商,1060302,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,970902,195.03,4,2,2,有,有,25820000,132390,坡道平面,38.64,0,二等親買賣
595,595,萬華區,房地(土地+建物),臺北市萬華區康定路1~30號,4.5,商,1060409,土地1建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),見使用執照,鋼筋混凝土造,900705,57.32,2,1,1,有,有,9150000,159630,,0,0,
596,596,大同區,房地(土地+建物),臺北市大同區民權西路121~150號,14.82,住,1060406,土地2建物1車位0,十三層,十八層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,790323,158.81,3,1,2,有,有,20560000,129463,,0,0,
597,597,萬華區,房地(土地+建物)+車位,臺北市萬華區萬大路423巷31~60號,40.52,住,1060414,土地4建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,970103,189.3,3,2,2,有,有,23800000,125726,坡道平面,0,0,
598,598,中正區,房地(土地+建物)+車位,臺北市中正區忠孝東路一段31~60號,9.04,商,1060408,土地2建物1車位1,二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,950926,103.4,3,2,1,有,有,27800000,268859,塔式車位,0,0,含增建或未登記建物。
600,600,中正區,房地(土地+建物),臺北市中正區連雲街61~90號,132,商,1060112,土地1建物1車位0,一層，二層，三層，騎樓,三層,其他,,加強磚造,NA,212.85,0,3,3,有,無,9.60E+07,451022,,0,0,建物型態:透天厝(一樓店面，二、三樓住家)含增建或未登記建物。
601,601,萬華區,房地(土地+建物),臺北市萬華區桂林路121~150號,9.02,商,1060408,土地1建物1車位0,十五層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050307,106.79,3,2,2,有,有,20640000,193277,,0,0,
